slug,key,value,osmium_tag_filter,nom en français dans ID,lien wiki,description en français dans taginfo,lien data item,modifié dans les data items ?,nsi_path,osmose_missing_item,osmose_missing_class,mots clefs à chercher dans les notes,mots clefs pour chercher dans l'auto-complétion,début du message pour les commerces déjà mappés,catégories proches peut-être à afficher aussi sur la page ?
shop/chemist,shop,chemist,nw/shop=chemist,Parapharmacie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dchemist,"Boutique vendant des articles pour l'hygiène, des cosmétiques, des produits d'entretien",http://wiki.openstreetmap.org/entity/Q5055,,brands/shop/chemist,8310,['47.75Z'],,,,
shop/perfumery,shop,perfumery,nw/shop=perfumery,Parfumerie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dperfumery,A shop selling perfumes.,http://wiki.openstreetmap.org/entity/Q5335,,brands/shop/perfumery,8310,['47.75Z'],,,,
shop/pastry,shop,pastry,nw/shop=pastry,Pâtisserie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dpastry,un magasin de fabrication et de vente de pâtisseries,http://wiki.openstreetmap.org/entity/Q5827,modifié,brands/shop/pastry,8310,"['10.71B', '10.71C', '10.71D', '47.24Z']",,,Cette patisserie existe,boulangeries
amenity/pharmacy,amenity,pharmacy,nw/amenity=pharmacy,Pharmacie,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dpharmacy,,,,brands/amenity/pharmacy,8310,['47.73Z'],,,,
shop/copyshop,shop,copyshop,nw/shop=copyshop,Photocopie et impression,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dcopyshop,Un magasin proposant des services de photocopie ou d'impression.,http://wiki.openstreetmap.org/entity/Q5623,,brands/shop/copyshop,,,,,,
craft/photographer,craft,photographer,nw/craft=photographer,Photographe,https://wiki.openstreetmap.org/wiki/FR:Tag:craft%3Dphotographer,,,,,,,,,,
amenity/animal_boarding,amenity,animal_boarding,nw/amenity=animal_boarding,Plateforme de chargement d'animaux,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Danimal_boarding,,,,brands/amenity/animal_boarding,,,,,,
craft/plumber,craft,plumber,nw/craft=plumber,Plombier,https://wiki.openstreetmap.org/wiki/FR:Tag:craft%3Dplumber,,,,brands/craft/plumber,,,,,,
shop/seafood,shop,seafood,nw/shop=seafood,Poissonnerie / Vente de fruits de mer,,A shop selling fish/seafood.,,modifié,brands/shop/seafood,8310,['47.23Z'],,,,
shop/dry_cleaning,shop,dry_cleaning,nw/shop=dry_cleaning,Pressing,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Ddry_cleaning,Lieu proposant un service de nettoyage à sec de vêtements,http://wiki.openstreetmap.org/entity/Q6467,,brands/shop/dry_cleaning,,,,,,
amenity/pub,amenity,pub,nw/amenity=pub,Pub,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dpub,,,,brands/amenity/pub,8310,"['56.10A', '56.30Z']",,,,"bar, pub, café"
shop/hardware,shop,hardware,nw/shop=hardware,Quincaillerie,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dhardware,"Un magasin qui vend du bois, des outils et d'autres produits de construction",http://wiki.openstreetmap.org/entity/Q4771,,brands/shop/hardware,8310,"['47.52A', '47.52B']",,,,
shop/motorcycle_repair,shop,motorcycle_repair,nw/shop=motorcycle_repair,Réparateur de motos,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dmotorcycle_repair,A place where you can get your motorcycles repaired.,http://wiki.openstreetmap.org/entity/Q6646,,brands/shop/motorcycle_repair,8310,['45.40Z'],,,,
amenity/restaurant,amenity,restaurant,nw/amenity=restaurant,Restaurant,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Drestaurant,,,,brands/amenity/restaurant,8310,"['56.10A', '56.10C']",,,,"restau, fast-food"
amenity/fast_food,amenity,fast_food,nw/amenity=fast_food,Restauration rapide,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dfast_food,,,,brands/amenity/fast_food,8310,"['56.10A', '56.10C']",,,,"restau, fast-food"
shop/beauty,shop,beauty,nw/shop=beauty,Salon de beauté,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dbeauty,"Un salon d'esthéticienne, spa, onglerie, etc.",,,brands/shop/beauty,8310,"['47.75Z', '96.02B', '96.04Z']",,,,
shop/hairdresser,shop,hairdresser,nw/shop=hairdresser,Salon de coiffure,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dhairdresser,Un salon de coiffure où vous pouvez vous faire couper les cheveux,,,brands/shop/hairdresser,8310,['96.02A'],,,,
shop/massage,shop,massage,nw/shop=massage,Salon de massage,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dmassage,Cabinet de massage,http://wiki.openstreetmap.org/entity/Q5051,,brands/shop/massage,8310,['96.04Z'],,,,
shop/tatoo,shop,tatoo,nw/shop=tatoo,Salon de tatouage,https://wiki.openstreetmap.org/wiki/FR:Tag:shop%3Dtatoo,,,,,,,,,,
amenity/car_wash,amenity,car_wash,nw/amenity=car_wash,Station de lavage de voiture,https://wiki.openstreetmap.org/wiki/FR:Tag:amenity%3Dcar_wash,,,,brands/amenity/car_wash,,,,,,
